sifra;url
dc;https://d3el976p2k4mvu.cloudfront.net/site/binaries/_ht_1679583964272/lg/content/gallery/hero-banners/maxi-serbia-sr-latn/inout-23.3-5.4.-hero.jpg?imwidth=1100
dc;https://d3el976p2k4mvu.cloudfront.net/site/binaries/_ht_1677683307481/lg/content/gallery/hero-banners/pyrex-hero-dugme.png?imwidth=1100
dc;https://d3el976p2k4mvu.cloudfront.net/site/binaries/_ht_1680187187794/lg/content/gallery/hero-banners/maxi-serbia-sr-latn/svetski-dan-zdravlja-hc.png?imwidth=1100
mc;https://d3el976p2k4mvu.cloudfront.net/site/binaries/_ht_1677598955934/lg/content/gallery/image-components/maxi-serbia-sr-latn/gm-jedan.png?imwidth=1100
mc;https://d3el976p2k4mvu.cloudfront.net/site/binaries/_ht_1677599156596/lg/content/gallery/image-components/maxi-serbia-sr-latn/gm-dva.png?imwidth=1100
mc;https://d3el976p2k4mvu.cloudfront.net/site/binaries/_ht_1677599253368/lg/content/gallery/image-components/maxi-serbia-sr-latn/gm-tri.png?imwidth=1100
hpc;https://maxi.sales-snap.com/asset/1372:kategorijeplava-cenahome-page-minpng3
pc;https://maxi.sales-snap.com/asset/935:kategorije1plava-cenadesktoppng2
pdf-d;https://view.publitas.com/maxi-serbia-en-folder/maxi-weekly-leaflet-17-11-23-11-2022/?publitas_embed=embedded
pdf-m;https://view.publitas.com/maxi-serbia-en-folder/maxi-nedeljni-liflet-26-1-2-1-2023-small-case/?publitas_embed=maximized